A02,국제교류센터
A05,학생지원센터
A06,디자인미술대학 디자인관
A07,디자인미술대학 미술관
A08,사범대학
A10,음악대학
A11,음악대학 심포니홀
A13,필승관
A14,씨름장
A21,디자인미술대학 대학원실기동
A22,디자인미술대학 입체미술동A
A23,디자인미술대학 입체미술동B
A24,디자인미술대학 세라믹 실기동
A27,탁구장
B02,상경관
B03,인문관
B05,법정관
B07,이희건기념관
C02,외국어교육원
C03,종합강의동
C10,야구부실내연습장
C27,제2인문관
E02,천마아트센터
E04,체조장
E05,천마체육관
E21,IT관
E22,전기관
E23,섬유관
E24,화공관
E25,섬유실습공장
E28,소재관
E29,기계관
E32,기계실습공장(2)
E33,기계실습공장(1)
F01,약대본관
F02,약대실험동
F03,건축관
F04,정보전산원
F05,공과대학 강당
F06,정보통신연구소
F07,건설광
F21,제1과학관
F22,제2과학관
F23,제3과학관
F26,생명공학관
F27,자원대 본관
F28,자원대 제2실험동
F29,자원대 제3실험동
G01,생활과학대학본관
G02,생활과학대학별관
G04,법학전문대학원
G11,CRC
G14,중앙기기센터 분관
G15,생산기술연구원
G16,공장형 실습장
H04,의대강의동
